,id,name,service_name,service_id,location
1748,46344,Leiripuiston hiekkakenttä,Pallokenttä,495,POINT (60.209793 24.808863)
1749,46281,Tyrskyvuoren petanque-kenttä,Pallokenttä,495,POINT (60.147247 24.639013)
1750,46270,Tikanpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.23058 24.805685)
1751,46269,Sepettorpan hiekkakenttä,Pallokenttä,495,POINT (60.14873 24.742016)
1752,46244,Rastasniitty / Hiekkakenttä,Pallokenttä,495,POINT (60.23624 24.760292)
1753,46236,Purotanhuan hiekkakenttä,Pallokenttä,495,POINT (60.162445 24.684246)
1754,46235,Pisanpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.17542 24.673504)
1755,46215,Puistokenttä Pirttipuisto,Pallokenttä,495,POINT (60.278458 24.777843)
1756,46178,Kulomäen lähiliikuntapaikan miniareena,Pallokenttä,495,POINT (60.34426 25.057682)
1757,46174,Kuttulammenpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.244415 24.756517)
1758,46173,Myntinsyrjän nurmikenttä,Pallokenttä,495,POINT (60.19845 24.590855)
1759,46171,Lukupuronpuisto / Hiekkakenttä,Pallokenttä,495,POINT (60.1825 24.762457)
1760,46163,Västersundomin koulun hiekkakenttä,Pallokenttä,495,POINT (60.255222 25.141323)
1761,46162,Mikkolan koulun pieni tekonurmi (28x14),Pallokenttä,495,POINT (60.34119 25.093796)
1762,46162,Mikkolan koulun pieni tekonurmi (28x14),Lähiliikuntapaikka,415,POINT (60.34119 25.093796)
1763,46161,Laajavuoren koulun hiekkakenttä 2,Pallokenttä,495,POINT (60.276928 24.845753)
1764,46145,Rajakylän liikuntapuiston miniareena,Pallokenttä,495,POINT (60.24826 25.111307)
1765,46138,Korson liikuntapuiston futsalkenttä,Pallokenttä,495,POINT (60.35624 25.07033)
1766,46135,Korson liikuntapuiston sulkapallokentät,Pallokenttä,495,POINT (60.356483 25.070679)
1767,46129,Iivisniemen hiekkakenttä,Pallokenttä,495,POINT (60.14749 24.694107)
1768,45937,Hoplaxskolan (Haga) / Hiekkakenttä,Pallokenttä,495,POINT (60.21637 24.890364)
1769,45930,Nordsjö lågstadieskola / Hiekkakenttä,Pallokenttä,495,POINT (60.2083 25.139395)
1770,45921,Metsolan ala-asteen koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.251194 24.961205)
1771,45905,Santahaminan ala-asteen koulu / Hiekkakenttä,Pallokenttä,495,POINT (60.15366 25.045174)
1772,45904,Kulosaaren ala-asteen koulu / Tekonurmikenttä,Pallokenttä,495,POINT (60.1854 25.008192)
1773,45626,Hiidenkiven peruskoulu / Tekonurmikenttä,Pallokenttä,495,POINT (60.263813 25.019806)
